,Tweets Ago,Media,Tweet,Date,Compound,Positive,Negative,Neutral
125,26,CBS,"RT @CBSTweet: ""Always remember there's no place like first"" @Ravens running back @Budda03 is ready to put on his dance shoes for #MVPCBS! #…",Sat Jan 20 23:28:44 +0000 2018,0.4753,0.186,0.737,0.077
126,27,CBS,Carolina @Panthers player Jonathan Stewart is a finalist of MVP: Most Valuable Performer! Watch him compete on the… https://t.co/qhRjuRdRF2,Sat Jan 20 00:42:23 +0000 2018,0.5697,0.178,0.822,0.0
127,28,CBS,RT @CBSTweet: A special thank you from @Browns guard @kzeit70 on behalf of himself and his dog Amber for voting him into #MVPCBS! Don't mis…,Fri Jan 19 22:53:48 +0000 2018,0.6696,0.2,0.8,0.0
128,29,CBS,"Cast your vote for your favorite commercial now, then tune in to see which spot is named champion! Watch Super Bowl… https://t.co/2dGlQvBQED",Fri Jan 19 12:06:04 +0000 2018,0.902,0.369,0.631,0.0
129,30,CBS,Baltimore @Ravens running back Alex Collins (@Budda03) is one of the finalists of MVP: Most Valuable Performer! Wat… https://t.co/7RV0vMyg2F,Thu Jan 18 20:35:02 +0000 2018,0.5697,0.17,0.83,0.0
130,31,CBS,RT @CBSTweet: Let's go!!!! Thank you to the fans for voting in #BrandonWilliams from the @ravens! BrandonW_66 is ready to show off his sing…,Thu Jan 18 20:05:07 +0000 2018,0.7326,0.219,0.781,0.0
131,32,CBS,"#TBT to when @latelateshow's @JKCorden brought Carpool Karaoke to the #GRAMMYs with @JLo, @JohnLegend, @FaithHill a… https://t.co/MNqRh1rgIK",Thu Jan 18 19:04:56 +0000 2018,0.0,0.0,1.0,0.0
132,33,CBS,Find out if your top pick made it to the final round of MVP: Most Valuable Performer! Watch the finalists compete d… https://t.co/nhSJ1SDZDK,Thu Jan 18 18:29:17 +0000 2018,0.6689,0.207,0.793,0.0
133,34,CBS,"Country stars @brothersosborne, @ericchurch &amp; @marenmorris will perform a special tribute to honor the victims of t… https://t.co/m0zbaY6AH0",Thu Jan 18 14:45:10 +0000 2018,0.5574,0.266,0.631,0.104
134,35,CBS,.@ZaneLowe and @AppleMusic's latest #UpNext artist @stefflondon stop by the @LateLateShow tonight! https://t.co/q8EGVM5Bky,Thu Jan 18 02:28:47 +0000 2018,-0.3595,0.0,0.828,0.172
135,36,CBS,"When these #SuperBowlCommercials face off, who will win - Man or Beast? Watch all the memorable spots and cast your… https://t.co/Qbu0Ah0toB",Wed Jan 17 23:59:46 +0000 2018,0.5859,0.167,0.833,0.0
136,37,CBS,"2018 GRAMMY® nominee @LadyGaga is never afraid to push boundaries.

Watch her perform live at The 60th Annual… https://t.co/TqqoTcVs2i",Wed Jan 17 19:54:17 +0000 2018,0.0,0.0,1.0,0.0
137,38,CBS,#StrangeAngel Casting News: @rupertfriend joins the cast of the upcoming CBS All Access original drama series. Lear… https://t.co/xOq0SC6ove,Wed Jan 17 19:04:12 +0000 2018,0.3182,0.119,0.881,0.0
138,39,CBS,"You won't want to miss performances by @eltonofficial with @MileyCyrus, @U2, @samsmithworld, @kendricklamar &amp; more!… https://t.co/dCKkJIXQfZ",Wed Jan 17 14:52:00 +0000 2018,0.1316,0.102,0.826,0.072
139,40,CBS,Cast your vote now and see who will be named the winner of Super Bowl Greatest Commercials 2018! Tune in January 30… https://t.co/zUteavWdKi,Sun Jan 14 22:13:29 +0000 2018,0.9215,0.379,0.621,0.0
140,41,CBS,"If you continue to experience problems, please visit https://t.co/wvWEgDYfI5 to send our support team an email.",Sun Jan 14 19:12:26 +0000 2018,0.3182,0.242,0.628,0.13
141,42,CBS,"We apologize for the live streaming issues some users are experiencing on CBS All Access this morning. The issue, a… https://t.co/WNl94H269i",Sun Jan 14 19:12:25 +0000 2018,0.1027,0.065,0.935,0.0
142,43,CBS,"RT @startrekcbs: There will be lots to discuss after tonight's new #StarTrekDiscovery. Luckily, #AfterTrek has you covered. Join @karterhol…",Sun Jan 14 19:11:33 +0000 2018,0.6705,0.244,0.756,0.0
143,44,CBS,Don’t miss the AFC Divisional game! Stream the Jacksonville Jaguars at Pittsburgh Steelers LIVE today at 1:05PM ET… https://t.co/uYjgjaa6Oj,Sun Jan 14 14:49:58 +0000 2018,-0.2244,0.0,0.905,0.095
144,45,CBS,"Today's music stars will be tomorrow's legends. In two weeks, celebrate The 60th Annual #GRAMMYs, Sunday, January 2… https://t.co/feZVWMIKua",Sun Jan 14 12:00:01 +0000 2018,0.5719,0.171,0.829,0.0
145,46,CBS,Don’t miss the AFC Divisional game! Stream the Tennessee Titans at New England Patriots LIVE tonight at 8:15PM ET w… https://t.co/X34bNfms3j,Sat Jan 13 14:32:07 +0000 2018,-0.2244,0.0,0.914,0.086
146,47,CBS,Star power makes these commercials instant classics! Vote for your favorite spot now and watch Super Bowl Greatest… https://t.co/DwBhTazToF,Fri Jan 12 21:39:27 +0000 2018,0.8016,0.297,0.703,0.0
147,48,CBS,Four-time GRAMMY® winner @KeithUrban inspires the next generation of young artists through music education. Because… https://t.co/1a32zReMrn,Fri Jan 12 12:00:05 +0000 2018,0.7717,0.324,0.676,0.0
148,49,CBS,Here's why @startrekcbs needs to be your next binge: https://t.co/locrpdx0VT #StarTrekDiscovery https://t.co/XOMuprlXzG,Thu Jan 11 20:34:24 +0000 2018,0.0,0.0,1.0,0.0
149,50,CBS,RT @Elementary_CBS: Your favorite detective duo is back! #Elementary returns April 30 at 10/9c! https://t.co/aG8XiwAd6S,Thu Jan 11 20:31:42 +0000 2018,0.555,0.204,0.796,0.0
150,51,CBS,"RT @CodeBlackCBS: Return to Angels Memorial on Wednesday, May 2 for season 3 of #CodeBlack. https://t.co/ZmfuQhOwoU",Thu Jan 11 20:31:33 +0000 2018,0.0,0.0,1.0,0.0
151,52,CBS,#TBT to when @latelateshow's @JKCorden rolled into the 2017 #GRAMMYs! Don't miss him return to host The 60th Annual… https://t.co/CbczcnV3HK,Thu Jan 11 12:00:06 +0000 2018,0.1867,0.084,0.916,0.0
152,53,CBS,Hosts @7BOOMERESIASON &amp; @DanielaRuah return in Super Bowl Greatest Commercials 2018 pitting man vs. beast! Cast you… https://t.co/bk8OKTblMw,Wed Jan 10 17:15:18 +0000 2018,0.8553,0.344,0.656,0.0
153,54,CBS,"Music's Biggest Night® just got bigger with epic performances by @BrunoMars with @iamcardib, @KeshaRose, @sza and m… https://t.co/rCWrP6PihR",Wed Jan 10 14:44:59 +0000 2018,0.0,0.0,1.0,0.0
154,55,CBS,RT @BullCBS: Dr. #Bull's latest case could change the way Psychologists work. Don't miss tonight's new episode at 9/8c on CBS! https://t.co…,Tue Jan 09 19:30:28 +0000 2018,0.1867,0.076,0.924,0.0
155,56,CBS,"🎶@Prince pushed the envelope and never settled for ordinary.

Celebrate the greatest artists in music history at Th… https://t.co/GPZ9YgK1tH",Tue Jan 09 19:27:16 +0000 2018,0.836,0.317,0.683,0.0
156,57,CBS,RT @AmazingRaceCBS: This race is just getting started. Catch a new episode of The #AmazingRace tomorrow at 8/7c on CBS! https://t.co/Nab5DC…,Tue Jan 09 18:29:39 +0000 2018,0.0,0.0,1.0,0.0
157,58,CBS,RT @startrekcbs: #StarTrekDiscovery is back! Episode 10 is now streaming on CBS All Access: https://t.co/xPeb97Rs8J https://t.co/Uvgab7nGgS,Mon Jan 08 18:07:57 +0000 2018,0.0,0.0,1.0,0.0
158,59,CBS,"New year, new case. Watch the latest episode of #NCISLA now: https://t.co/1rAsX4EsiB https://t.co/QzRZcORK9r",Mon Jan 08 14:34:48 +0000 2018,0.0,0.0,1.0,0.0
159,60,CBS,RT @AmazingRaceCBS: Which teams are zipping through the first leg of the #AmazingRace? https://t.co/8isAwPyrLY,Mon Jan 08 14:29:20 +0000 2018,0.0,0.0,1.0,0.0
160,61,CBS,RT @MadamSecretary: Is VP Hurst going to work with or against Elizabeth? Stream a new #MadamSecretary live with CBS All Access: https://t.c…,Mon Jan 08 00:29:51 +0000 2018,0.0,0.0,1.0,0.0
161,62,CBS,"RT @debrabirnbaum: .@ShawnRyanTV: To me, being on CBS is the opposite of preaching to the choir. #TCA18",Sat Jan 06 20:05:17 +0000 2018,0.0,0.0,1.0,0.0
162,63,CBS,RT @LivinBiblically: “The truth is it somehow gorgeously straddles both sides...I have had friends come from all different walks of life an…,Sat Jan 06 19:04:08 +0000 2018,0.8271,0.314,0.686,0.0
163,64,CBS,RT @instinctcbs: “This is a crime show where at the end you’re not reminded of how miserable things are in the world right now…You feel sat…,Sat Jan 06 19:03:38 +0000 2018,-0.7717,0.0,0.774,0.226
164,65,CBS,"RT @startrekcbs: Star Trek has touched the lives of generations of fans, including the cast and writers of #StarTrekDiscovery. What's your…",Sat Jan 06 00:37:55 +0000 2018,0.0,0.0,1.0,0.0
165,66,CBS,#StrangeAngel has found its leading man! Jack Reynor will star as famed rocket engineer Jack Parsons in the upcomin… https://t.co/sHkSKABGfd,Sat Jan 06 00:30:53 +0000 2018,0.0,0.0,1.0,0.0
166,67,CBS,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ",Fri Jan 05 18:30:42 +0000 2018,0.0,0.0,1.0,0.0
167,68,CBS,"RT @CBSTweet: #CBSRatingsNews: CBS Sweeps Fourth Quarter Ratings in Daytime, Primetime and Late Night for the First Time Since 2009 https:/…",Fri Jan 05 16:05:58 +0000 2018,0.0,0.0,1.0,0.0
168,69,CBS,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1",Thu Jan 04 23:13:02 +0000 2018,0.1867,0.11,0.89,0.0
169,70,CBS,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD",Thu Jan 04 14:43:09 +0000 2018,-0.296,0.0,0.879,0.121
170,71,CBS,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…",Wed Jan 03 20:33:09 +0000 2018,0.5423,0.179,0.821,0.0
171,72,CBS,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS,Wed Jan 03 19:51:15 +0000 2018,-0.5267,0.0,0.833,0.167
172,73,CBS,Do you know all the nominees for Artist Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/UQa8Mu9PUV,Wed Jan 03 15:00:05 +0000 2018,0.5423,0.143,0.857,0.0
173,74,CBS,"The new year of new episodes continues tonight with all-new episodes of #AmazingRace, #SEALTeam and #CriminalMinds… https://t.co/bwhNhQgsFC",Wed Jan 03 12:00:01 +0000 2018,0.0,0.0,1.0,0.0
174,75,CBS,"RT @BullCBS: Tonight, can #Bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? Tune in at 9/8c or st…",Wed Jan 03 00:47:26 +0000 2018,-0.7692,0.0,0.733,0.267
175,76,CBS,It's your last chance to choose the pro football player with the best off-the-field talent! Vote now to decide who… https://t.co/6DjwqU0MB9,Tue Jan 02 22:41:51 +0000 2018,0.8516,0.34,0.66,0.0
176,77,CBS,"New year, new episodes -- all week long! It kicks off with an all-new #NCIS, #Bull and #NCISNOLA tonight starting a… https://t.co/bcmAaUQJtf",Tue Jan 02 08:00:03 +0000 2018,0.0,0.0,1.0,0.0
177,78,CBS,"Due to #NFL football games overrun, revised start times &amp; lineup for Eastern/Central Time Zones Only:
#60Minutes 8:… https://t.co/rqOYbM5j0h",Mon Jan 01 01:16:12 +0000 2018,0.0,0.0,1.0,0.0
178,79,CBS,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE (not ava… https://t.co/NEntvW7QHd,Sun Dec 31 14:37:05 +0000 2017,0.7798,0.264,0.736,0.0
179,80,CBS,"RT @NoActivityCBS: All season nothing's happened. Now prepare for activity. Stream the #NoActivity season finale Sunday, Dec 31 on CBS All…",Sat Dec 30 20:25:20 +0000 2017,0.0,0.0,1.0,0.0
180,81,CBS,RT @startrekcbs: Find out what happens when you boldly go too far. #StarTrekDiscovery continues January 7 on CBS All Access: https://t.co/f…,Sat Dec 30 20:24:58 +0000 2017,0.3612,0.116,0.884,0.0
181,82,CBS,Stream NC State Wolfpack at Arizona State Sun Devils LIVE today at 3PM ET with a 1-month FREE trial of… https://t.co/8k50thgtip,Fri Dec 29 16:06:02 +0000 2017,0.0857,0.157,0.699,0.144
182,83,CBS,"In case you missed this star-studded tribute to Carol Burnett's classic comedy series, catch up now! Watch The Caro… https://t.co/wu7BxM9gtm",Thu Dec 28 20:31:01 +0000 2017,0.1511,0.121,0.783,0.096
183,84,CBS,Some of TV's biggest stars saluted @TheNormanLear's impact on television and culture at The 40th Annual Kennedy Cen… https://t.co/E74ChUW1uE,Thu Dec 28 19:28:22 +0000 2017,0.0,0.0,1.0,0.0
184,85,CBS,The search is on to find the pro football player with the best off-the-field talent. Vote for your favorite player… https://t.co/R0fb5ngJ16,Wed Dec 27 22:45:05 +0000 2017,0.875,0.357,0.643,0.0
185,86,CBS,"Celebrate everyone's favorite classic sitcom with Carol Burnett, Vicki Lawrence, and more stars during The Carol Bu… https://t.co/SaiZ9TzBVO",Wed Dec 27 21:04:10 +0000 2017,0.7717,0.295,0.705,0.0
186,87,CBS,Joy to the world of streaming! Try #CBSAllAccess FREE for 1 month – just use code BINGE by 1/2:… https://t.co/9p1ACnslz6,Wed Dec 27 19:52:02 +0000 2017,0.8452,0.337,0.663,0.0
187,88,CBS,"Music legend Stevie Wonder salutes @LionelRichie while performing his classic hit, ""Easy"" at The 40th Annual Kenned… https://t.co/7TeDeNyhgo",Wed Dec 27 19:40:34 +0000 2017,0.0,0.0,1.0,0.0
188,89,CBS,"As the youngest Kennedy Center Honoree in 40 years, @LLCoolJ talks about what motivates him to chase his dreams. Wa… https://t.co/DFY78y99w3",Wed Dec 27 12:00:01 +0000 2017,0.7003,0.234,0.766,0.0
189,90,CBS,Here's to the 2017 Kennedy Center Honorees! Catch up on an evening of stunning performances and inspiring speeches… https://t.co/jGfANpSCul,Wed Dec 27 07:27:33 +0000 2017,0.8398,0.36,0.64,0.0
190,91,CBS,This celebration could go all night long! What a great final performance in honor of @LionelRichie. #KCHonors https://t.co/xKLWpKr3v0,Wed Dec 27 04:00:52 +0000 2017,0.8221,0.336,0.664,0.0
191,92,CBS,RT @MarkAPrinceJr: A #LionelRichie tribute is not complete without 🎶All Night Long🎶 😁 #KCHonors,Wed Dec 27 03:59:48 +0000 2017,0.0,0.0,1.0,0.0
192,93,CBS,Carmen de Lavallade (@CarmenDances) got emotional during those beautiful performances in her honor. Congratulations… https://t.co/gOCAZpZDpt,Wed Dec 27 03:36:01 +0000 2017,0.8271,0.42,0.58,0.0
193,94,CBS,RT @Glamourtunist: This tribute to Carmen de Lavallade at the #KCHonors is so beautiful and well deserved. ❤️,Wed Dec 27 03:35:29 +0000 2017,0.8103,0.315,0.685,0.0
194,95,CBS,RT @llcoolj: Attn: #HIPHOP !!!! We made history!! #KCHonors,Wed Dec 27 03:03:49 +0000 2017,0.0,0.0,1.0,0.0
195,96,CBS,.@llcoolj is making history! He’s the Kennedy Center’s first hip-hop honoree. #KCHonors https://t.co/kCqkOdUjtu,Wed Dec 27 03:03:26 +0000 2017,0.5255,0.22,0.78,0.0
196,97,CBS,RT @ErinAnnCullen: #KCHonors is always a night of inspiration. Thank you to these artists for your impact on our country. ❤️🧡💛💚💙💜,Wed Dec 27 02:57:56 +0000 2017,0.7096,0.247,0.753,0.0
197,98,CBS,Give a round of applause to television pioneer and 2017 Honoree @TheNormanLear! #KCHonors https://t.co/20UosF987x,Wed Dec 27 02:48:52 +0000 2017,0.7345,0.36,0.64,0.0
198,99,CBS,RT @AliL: This tribute to Norman Lear on #KCHonors is outstanding AND a walk down my childhood TV memory lane. 👏🏻📺,Wed Dec 27 02:45:34 +0000 2017,0.6124,0.174,0.826,0.0
199,100,CBS,RT @llcoolj: Moments I’ll never forget!!! #KCHonors,Wed Dec 27 02:28:07 +0000 2017,0.3699,0.298,0.702,0.0
200,1,CNN,Meet the Russian Winter Olympians fighting to clear their names https://t.co/PqGxVtUYNs https://t.co/nQYQGoo234,Mon Jan 22 09:50:52 +0000 2018,0.0258,0.172,0.662,0.166
201,2,CNN,Hundreds of Tokyo residents wearing gray bibs took part in the city's first simulated missile attack since the end… https://t.co/G1iWgKITla,Mon Jan 22 09:39:42 +0000 2018,-0.4767,0.0,0.86,0.14
202,3,CNN,"""We sat there for the entire night. During that time, I heard women and children screaming, men begging the attacke… https://t.co/nTCQA5B2kN",Mon Jan 22 09:30:26 +0000 2018,-0.3818,0.0,0.88,0.12
203,4,CNN,"America is missing out on a tourism boom. International visitor numbers surged 7% last year, but interest in US tra… https://t.co/nAY3w1mJoc",Mon Jan 22 09:30:24 +0000 2018,0.5267,0.169,0.763,0.068
204,5,CNN,Turkey's military incursion into northern Syria against Kurdish militia opens yet another front in the seven-year S… https://t.co/KFWMFrfwMQ,Mon Jan 22 09:22:33 +0000 2018,0.0,0.0,1.0,0.0
205,6,CNN,A new book captures China's stunning terrains and the romance of steam trains https://t.co/K4rz81NjNu (via… https://t.co/55VicltWrg,Mon Jan 22 09:11:15 +0000 2018,0.7351,0.323,0.677,0.0
206,7,CNN,"Killing NAFTA would cost the United States 300,000 jobs, cut economic growth, hurt stocks and cause prices for cons… https://t.co/Npv22ZTPa7",Mon Jan 22 09:00:20 +0000 2018,-0.6705,0.178,0.495,0.327
207,8,CNN,"Of all the wealth created in 2017, 82% went to the richest 1%, a new report says https://t.co/Ctv79xsNDg https://t.co/c9EY8Ce8Za",Mon Jan 22 08:53:18 +0000 2018,0.8225,0.364,0.636,0.0
208,9,CNN,Here's how the seizure of a US spy ship by North Korea nearly sparked nuclear war https://t.co/5fAPaxTqGi https://t.co/QODCInoMG1,Mon Jan 22 08:41:33 +0000 2018,-0.5994,0.0,0.804,0.196
209,10,CNN,"Scientists have developed an experimental blood test that may be able to detect 8 types of cancer, study says… https://t.co/QUXQyORNMl",Mon Jan 22 08:30:19 +0000 2018,-0.6597,0.0,0.804,0.196
210,11,CNN,"For Donald Trump, this time bankruptcy won't get him out of a mess | @deanofcomedy writes for @CNNOpinion… https://t.co/8pEBHxWF7I",Mon Jan 22 08:18:49 +0000 2018,-0.3612,0.0,0.865,0.135
211,12,CNN,Amazon to (finally) open checkout-free store in Seattle https://t.co/2teT0MP1cM https://t.co/C2wuEw2mID,Mon Jan 22 08:15:57 +0000 2018,0.1779,0.159,0.841,0.0
212,13,CNN,"Four hours. Four banks. Six cents.

It's nearly impossible to withdraw $1 from the bank in Venezuela. Here's how a… https://t.co/aRml4tSIHO",Mon Jan 22 08:00:28 +0000 2018,0.0,0.0,1.0,0.0
213,14,CNN,Meet the newest player in the global space industry https://t.co/F3zPNGg1Bd,Mon Jan 22 07:58:57 +0000 2018,0.0,0.0,1.0,0.0
214,15,CNN,These are the most innovative car designs set to emerge in 2018 https://t.co/DHy95cPrVw https://t.co/GB6TmelqXX,Mon Jan 22 07:53:28 +0000 2018,0.4927,0.197,0.803,0.0
215,16,CNN,"After promising to search North America for the perfect home for its next HQ, Amazon narrowed its list to 20 cities… https://t.co/OKQpowS4qc",Mon Jan 22 07:31:52 +0000 2018,0.7964,0.299,0.701,0.0
216,17,CNN,"A growing movement is targeting single-use plastic straws, which are not recyclable and often end up littering the… https://t.co/jC4ohVZ7Qt",Mon Jan 22 07:30:15 +0000 2018,0.1779,0.091,0.909,0.0
217,18,CNN,The Senate is scheduled to have a key vote at noon Monday on a bill to reopen the government and fund it for three… https://t.co/BMHAlK2W7b,Mon Jan 22 07:10:10 +0000 2018,0.0,0.0,1.0,0.0
218,19,CNN,"When Saudi Arabia's Jeddah Tower opens in 2020, it will knock Dubai's iconic Burj Khalifa off its throne as the tal… https://t.co/wdCGaU1C7E",Mon Jan 22 07:00:20 +0000 2018,0.0,0.0,1.0,0.0
219,20,CNN,"""How wonderful it is that our careers today can go beyond 40 years old""

From Nicole Kidman's acceptance speech to… https://t.co/fJktMSQqcL",Mon Jan 22 06:54:19 +0000 2018,0.7717,0.261,0.739,0.0
220,21,CNN,Meet the Russian Winter Olympians fighting to clear their names https://t.co/PqGxVtUYNs https://t.co/nQYQGoo234,Mon Jan 22 09:50:52 +0000 2018,0.0258,0.172,0.662,0.166
221,22,CNN,Hundreds of Tokyo residents wearing gray bibs took part in the city's first simulated missile attack since the end… https://t.co/G1iWgKITla,Mon Jan 22 09:39:42 +0000 2018,-0.4767,0.0,0.86,0.14
222,23,CNN,"""We sat there for the entire night. During that time, I heard women and children screaming, men begging the attacke… https://t.co/nTCQA5B2kN",Mon Jan 22 09:30:26 +0000 2018,-0.3818,0.0,0.88,0.12
223,24,CNN,"America is missing out on a tourism boom. International visitor numbers surged 7% last year, but interest in US tra… https://t.co/nAY3w1mJoc",Mon Jan 22 09:30:24 +0000 2018,0.5267,0.169,0.763,0.068
224,25,CNN,Turkey's military incursion into northern Syria against Kurdish militia opens yet another front in the seven-year S… https://t.co/KFWMFrfwMQ,Mon Jan 22 09:22:33 +0000 2018,0.0,0.0,1.0,0.0
225,26,CNN,A new book captures China's stunning terrains and the romance of steam trains https://t.co/K4rz81NjNu (via… https://t.co/55VicltWrg,Mon Jan 22 09:11:15 +0000 2018,0.7351,0.323,0.677,0.0
226,27,CNN,"Killing NAFTA would cost the United States 300,000 jobs, cut economic growth, hurt stocks and cause prices for cons… https://t.co/Npv22ZTPa7",Mon Jan 22 09:00:20 +0000 2018,-0.6705,0.178,0.495,0.327
227,28,CNN,"Of all the wealth created in 2017, 82% went to the richest 1%, a new report says https://t.co/Ctv79xsNDg https://t.co/c9EY8Ce8Za",Mon Jan 22 08:53:18 +0000 2018,0.8225,0.364,0.636,0.0
228,29,CNN,Here's how the seizure of a US spy ship by North Korea nearly sparked nuclear war https://t.co/5fAPaxTqGi https://t.co/QODCInoMG1,Mon Jan 22 08:41:33 +0000 2018,-0.5994,0.0,0.804,0.196
229,30,CNN,"Scientists have developed an experimental blood test that may be able to detect 8 types of cancer, study says… https://t.co/QUXQyORNMl",Mon Jan 22 08:30:19 +0000 2018,-0.6597,0.0,0.804,0.196
230,31,CNN,"For Donald Trump, this time bankruptcy won't get him out of a mess | @deanofcomedy writes for @CNNOpinion… https://t.co/8pEBHxWF7I",Mon Jan 22 08:18:49 +0000 2018,-0.3612,0.0,0.865,0.135
231,32,CNN,Amazon to (finally) open checkout-free store in Seattle https://t.co/2teT0MP1cM https://t.co/C2wuEw2mID,Mon Jan 22 08:15:57 +0000 2018,0.1779,0.159,0.841,0.0
232,33,CNN,"Four hours. Four banks. Six cents.

It's nearly impossible to withdraw $1 from the bank in Venezuela. Here's how a… https://t.co/aRml4tSIHO",Mon Jan 22 08:00:28 +0000 2018,0.0,0.0,1.0,0.0
233,34,CNN,Meet the newest player in the global space industry https://t.co/F3zPNGg1Bd,Mon Jan 22 07:58:57 +0000 2018,0.0,0.0,1.0,0.0
234,35,CNN,These are the most innovative car designs set to emerge in 2018 https://t.co/DHy95cPrVw https://t.co/GB6TmelqXX,Mon Jan 22 07:53:28 +0000 2018,0.4927,0.197,0.803,0.0
235,36,CNN,"After promising to search North America for the perfect home for its next HQ, Amazon narrowed its list to 20 cities… https://t.co/OKQpowS4qc",Mon Jan 22 07:31:52 +0000 2018,0.7964,0.299,0.701,0.0
236,37,CNN,"A growing movement is targeting single-use plastic straws, which are not recyclable and often end up littering the… https://t.co/jC4ohVZ7Qt",Mon Jan 22 07:30:15 +0000 2018,0.1779,0.091,0.909,0.0
237,38,CNN,The Senate is scheduled to have a key vote at noon Monday on a bill to reopen the government and fund it for three… https://t.co/BMHAlK2W7b,Mon Jan 22 07:10:10 +0000 2018,0.0,0.0,1.0,0.0
238,39,CNN,"When Saudi Arabia's Jeddah Tower opens in 2020, it will knock Dubai's iconic Burj Khalifa off its throne as the tal… https://t.co/wdCGaU1C7E",Mon Jan 22 07:00:20 +0000 2018,0.0,0.0,1.0,0.0
239,40,CNN,"""How wonderful it is that our careers today can go beyond 40 years old""

From Nicole Kidman's acceptance speech to… https://t.co/fJktMSQqcL",Mon Jan 22 06:54:19 +0000 2018,0.7717,0.261,0.739,0.0
240,41,CNN,Turkey's military incursion into northern Syria against Kurdish militia opens yet another front in the seven-year S… https://t.co/wqw8DftNcw,Mon Jan 22 06:45:08 +0000 2018,0.0,0.0,1.0,0.0
241,42,CNN,Groundbreaking medical marijuana case lets little girl go back to school https://t.co/XWHxRbDMnL https://t.co/mnQwYajeC7,Mon Jan 22 06:38:06 +0000 2018,0.0,0.0,1.0,0.0
242,43,CNN,"YouTube and Facebook are trying to stop the spread of the Tide Pod Challenge, a bizarre and dangerous online craze… https://t.co/7rIQbk6n5s",Mon Jan 22 06:30:15 +0000 2018,-0.743,0.052,0.643,0.305
243,44,CNN,Julia Louis-Dreyfus misses #SAGAwards amid cancer battle but still makes history by becoming the most decorated act… https://t.co/RNmXsobkxH,Mon Jan 22 06:22:03 +0000 2018,-0.6059,0.0,0.716,0.284
244,45,CNN,The 2018 Women's March in photos: Here are the faces of people who participated across the world… https://t.co/R6oCSPIosf,Mon Jan 22 06:00:12 +0000 2018,0.0,0.0,1.0,0.0
245,46,CNN,"This ""woke"" grandma's message embodies the spirit of the Women's March https://t.co/gXgtg63odx https://t.co/9X1AJHXPjE",Mon Jan 22 05:30:30 +0000 2018,0.1779,0.124,0.876,0.0
246,47,CNN,New York Gov. Cuomo to keep Statue of Liberty open during shutdown https://t.co/elvhr7pCNA https://t.co/XROVZzd7Ga,Mon Jan 22 05:13:24 +0000 2018,0.5267,0.207,0.793,0.0
247,48,CNN,"""It is not up to women of color to save this country from itself. That's on all of us."" Planned Parenthood Presiden… https://t.co/a3gRwrPhUR",Mon Jan 22 05:02:18 +0000 2018,0.4939,0.127,0.873,0.0
248,49,CNN,Meet the Russian Winter Olympians fighting to clear their names https://t.co/ssFY6RycbU,Mon Jan 22 05:00:08 +0000 2018,0.0258,0.184,0.638,0.177
